observation_id,observation_captured_at,feature_available_at,starts_at,minutes_to_start,sport,model_version,event_id,game_pk,away_team,home_team,player_id,mlb_player_id,player_name,stat_id,market_name,line,side,label,model_mean,raw_independent_probability,model_probability,push_probability,market_fair_probability,edge_pct_points,best_book,best_odds,exact_line_book_count,paired_books,ev_pct,data_quality,status,market_open_line,market_current_line,line_move_open_to_current,market_open_fair_probability,market_current_fair_probability,market_probability_move_pp,market_quote_age_minutes,player_role,player_team_side,in_starting_lineup,batting_order_spot,is_confirmed_starter,catcher_change_after_model,opposing_starter_change_after_model,opposing_handedness_change_after_model,verification_data_quality,opposing_starter_hand,own_starter_hand,own_lineup_avg_ops,opponent_lineup_avg_ops,own_bullpen_score,opponent_bullpen_score,own_bullpen_level,opponent_bullpen_level,game_starter_changed,game_lineup_changed,game_catcher_changed,game_handedness_changed,weather_impact_direction,weather_impact_multiplier,weather_environment_multiplier,prop_delay_risk,prop_weather_data_quality,weather_change_after_model,roof_status,temp_f,humidity_pct,precip_probability_pct,wind_mph,wind_direction_deg,wind_class,park_factor,run_multiplier,hr_multiplier,hits_tb_multiplier,starter_durability_multiplier,strikeout_opportunity_multiplier,game_delay_risk,game_weather_data_quality,pitchmix_available,pitchmix_weighted_xwoba_delta,pitchmix_probability_adjustment,pitchmix_arsenal_coverage,pitchmix_usable_usage,feature_source_count,won,pushed,outcome
14,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,TAYLOR_TRAMMELL_1_MLB,666211,Taylor Trammell,batting_totalBases,Taylor Trammell Total Bases Over/Under,1.5,over,Taylor Trammell OVER 1.5 Total Bases,1.317,0.3234,0.3234,0,,,draftkings,263,2,0,17.4,0.546,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
15,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,doJ3OwfigTEzDZ1TE5sP,824953,Los Angeles Angels,Athletics,ALIKA_WILLIAMS_1_MLB,675961,Alika Williams,batting_totalBases,Alika Williams Total Bases Over/Under,1.5,over,Alika Williams OVER 1.5 Total Bases,1.587,0.4198,0.4198,0,,,draftkings,175,2,0,15.46,0.446,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
17,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,TAYLOR_TRAMMELL_1_MLB,666211,Taylor Trammell,batting_hits,Taylor Trammell Hits Over/Under,0.5,over,Taylor Trammell OVER 0.5 Hits,0.786,0.5843,0.5336,0,0.4393,9.43,betmgm,115,4,2,14.72,0.546,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
20,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,TAYLOR_TRAMMELL_1_MLB,666211,Taylor Trammell,batting_totalBases,Taylor Trammell Total Bases Over/Under,0.5,over,Taylor Trammell OVER 0.5 Total Bases,1.317,0.5801,0.5293,0,0.435,9.43,betmgm,115,2,2,13.81,0.546,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
23,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JOSE_ALTUVE_1_MLB,514888,Jose Altuve,batting_totalBases,Jose Altuve Total Bases Over/Under,1.5,over,Jose Altuve OVER 1.5 Total Bases,1.57,0.3928,0.3928,0,,,draftkings,185,2,0,11.96,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
24,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,BRICE_MATTHEWS_1_MLB,694728,Brice Matthews,batting_totalBases,Brice Matthews Total Bases Over/Under,1.5,over,Brice Matthews OVER 1.5 Total Bases,1.258,0.3008,0.3008,0,,,draftkings,272,2,0,11.9,0.46,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
25,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,BRICE_MATTHEWS_1_MLB,694728,Brice Matthews,batting_hits,Brice Matthews Hits Over/Under,0.5,over,Brice Matthews OVER 0.5 Hits,0.78,0.5816,0.5361,0,0.4515,8.45,draftkings,107,3,1,10.96,0.46,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
26,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,YORDAN_ALVAREZ_1_MLB,670541,Yordan Alvarez,batting_totalBases,Yordan Alvarez Total Bases Over/Under,1.5,over,Yordan Alvarez OVER 1.5 Total Bases,2.17,0.5007,0.4706,0,0.4147,5.59,betmgm,135,4,3,10.58,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
27,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JOSH_NAYLOR_1_MLB,647304,Josh Naylor,batting_totalBases,Josh Naylor Total Bases Over/Under,1.5,over,Josh Naylor OVER 1.5 Total Bases,1.461,0.3882,0.3882,0,,,draftkings,184,2,0,10.25,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
30,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,JP_CRAWFORD_1_MLB,641487,J.P. Crawford,batting_totalBases,J.P. Crawford Total Bases Over/Under,1.5,over,J.P. Crawford OVER 1.5 Total Bases,1.454,0.3488,0.3488,0,,,draftkings,207,2,0,7.09,0.934,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,false,false,L
31,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,ISAAC_PAREDES_1_MLB,670623,Isaac Paredes,batting_totalBases,Isaac Paredes Total Bases Over/Under,1.5,over,Isaac Paredes OVER 1.5 Total Bases,1.615,0.3951,0.3951,0,,,fanduel,170,2,0,6.68,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
32,2026-09-23 01:24:15.835+00,2026-09-23 01:24:15.835+00,2026-09-23 01:40:00+00,15.7360833333333333,MLB,MLB Player Props Model v1.1,1jdR9YYTS2E4PjT6AXsm,823089,Houston Astros,Seattle Mariners,ISAAC_PAREDES_1_MLB,670623,Isaac Paredes,batting_hits,Isaac Paredes Hits Over/Under,0.5,over,Isaac Paredes OVER 0.5 Hits,0.966,0.6693,0.6394,0,0.5838,5.56,fanduel,-150,4,2,6.56,1,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,true,false,W
